index,title,year,doi,pdf_status,fulltext_decision,kritzinger_level,building_scope,validation_type,domain,motif
6,Control Strategy for Building Air Conditioning Cluster Loads Participating in Demand Response Based on Cyber-Physical System,2024,10.3390/en17061291,AVAILABLE,INCLURE,Shadow,individual,simulation_only,HVAC,"CPS multi-niveau pour AC cluster, MOPSO optimization, case study, demand response 92%"
9,Visualised inspection system for monitoring environmental anomalies during daily operation and maintenance,2020,10.1108/ecam-11-2019-0640,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
10,Office-in-the-Loop: an investigation into Agentic AI for advanced building HVAC control systems,2025,10.1017/dce.2025.10010,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
11,Heat pump digital twin: An accurate neural network model for heat pump behaviour prediction,2025,10.1016/j.apenergy.2024.124816,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
13,"DIGITAL TWIN FOR STRUCTURAL HEALTH MONITORING OF CULTURAL HERITAGE: THE BUILDCHAIN DEMO-PILOT, PALAZZO PONIATOWSKI-GUADAGNI IN FLORENCE",2024,10.23967/eccomas.2024.043,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
16,Toward cognitive digital twins using a BIM-GIS asset management system for a diffused university,2022,10.3389/fbuil.2022.959475,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
23,Digital twin based deep learning framework for personalized thermal comfort prediction and energy efficient operation in smart buildings,2025,10.1038/s41598-025-10086-y,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
24,A digital twin architecture for real-time and offline high granularity analysis in smart buildings,2023,10.1016/j.scs.2023.104795,AVAILABLE,INCLURE,Twin,individual,real_deployment,ENERGY_MGMT,"DT real-time + offline + IAQ + thermal + electricity, validated <1% error in real building"
25,A hardware-in-the-loop (HIL) testbed for cyber-physical energy systems in smart commercial buildings,2024,10.1080/23744731.2024.2336839,AVAILABLE,INCLURE,Twin,individual,testbed,ENERGY_MGMT,"HIL testbed CPS smart commercial buildings, DOE prototype, BAS controllers"
30,Developing a Multi-Region Stacking Ensemble Framework via Scenario-Based Digital Twin Simulation for Short-Term Household Energy Demand Forecasting,2025,10.3390/app15179569,AVAILABLE,EXCLURE,Model,district,simulation_only,ENERGY_MGMT,"Multi-region household energy forecasting (Diyarbakir+Istanbul+Odemis) — echelle multi-regional, hors scope batiment individuel"
33,"Thermal modeling of existing buildings in high-fidelity simulators: A novel, practical methodology",2023,10.1016/j.enbuild.2023.113127,AVAILABLE,INCLURE,Twin,individual,pilot,HVAC,"Thermal modeling existing buildings, novel methodology, case study, validation real building"
34,A synergistic approach using digital twins and statistical machine learning for intelligent residential energy modelling,2025,10.1038/s41598-025-09760-y,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
42,Modeling indoor thermal comfort in buildings using digital twin and machine learning,2024,10.1016/j.dibe.2024.100480,AVAILABLE,INCLURE,Twin,individual,real_deployment,COMFORT,"DT+IoT+BIM platform thermal comfort, case study real building, FB Prophet/NeuralProphet"
43,Advanced Energy Performance Modelling: Case Study of an Engineering and Technology Precinct,2024,10.3390/buildings14061774,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
52,Intellectual Data Analysis System of Building Temperature Mode Monitoring,2019,10.1109/rusautocon.2019.8867611,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
53,A customizable benchmarking tool for evaluating personalized thermal comfort provisioning in smart spaces using Digital Twins,2025,10.1016/j.pmcj.2025.102076,AVAILABLE,INCLURE,Twin,individual,simulation_only,COMFORT,"Co-zyBench DT benchmarking tool, building+occupant DTs, co-simulation, real building reference"
54,A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin,2023,10.1016/j.apenergy.2022.120496,AVAILABLE,INCLURE,Twin,individual,simulation_only,ENERGY_MGMT,"DT-based BEF dispatch strategy, simulation 98.4% ideal, parameter fault tolerance"
57,A digital twin framework for improving energy efficiency and occupant comfort in public and commercial buildings,2021,10.1186/s42162-021-00153-9,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
63,Office building occupancy monitoring through image recognition sensors,2019,10.2495/safe-v9-n4-371-380,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
66,A Digital Twin Architecture for Smart Buildings,2022,10.1109/isc255366.2022.9922482,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
67,BIM and IoT Sensors Integration: A Framework for Consumption and Indoor Conditions Data Monitoring of Existing Buildings,2021,10.3390/su13084496,AVAILABLE,INCLURE,Shadow,individual,pilot,ENERGY_MGMT,"BIM+IoT integration, real-time data, case study Italy, Revit+Dynamo+API"
68,Exploring the Benefits and Limitations of Digital Twin Technology in Building Energy,2023,10.3390/app13158814,AVAILABLE,EXCLURE,n/a,n/a,n/a,n/a,Article de revue (Review) — pas d'etude primaire propre
69,Ontology-based Digital Twins for informed decision-making: Scenario testing and optimization in hospital building operations,2025,10.1016/j.jobe.2025.113594,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
72,Multi-indicator adaptive HVAC control system for low-energy indoor air quality management of heritage building preservation,2023,10.1016/j.buildenv.2023.110910,AVAILABLE,INCLURE,Twin,individual,simulation_only,HVAC,"Multi-indicator HBIM-DT adaptive HVAC IAQ heritage, CFD simulation, 30% energy savings"
74,Thermal performance improvement for residential heritage building preservation based on digital twins,2024,10.1016/j.jobe.2023.108283,AVAILABLE,INCLURE,Twin,individual,simulation_only,STRUCTURAL,"DT-HBIM heritage thermal performance, CFD+structural, 62.9% deformation reduction"
