index,Title,Year,Database,DOI,Abstract,C1_dt,C2_validation,C3_abstract,C4_scope,abstract_words,bucket_v3,decision_v3_final,motif_v3_final
5,"AI Agent-Based Intelligent Urban Digital Twin (I-UDT): Concept, Methodology, and Case Studies",2025,Scopus | Web of Science,10.3390/smartcities8010028,"Highlights What are the main findings? In the developed AI agent-based intelligent digital twin (I-DT), UBEM overcomes the limitations of the traditional UBEM approach and enables efficient analysis of urban building energy. GPT-based UBEM effectively performed the core functions of UBEM, serving as a key technology in I-UDT applications and services. What are the implications of the main findings? The I-UDT enables more accurate and comprehensive urban energy management, supporting the development of sustainable cities and carbon-neutral strategies. Implementing I-UDTs enables urban policymakers to make data-driven decisions, improve energy efficiency, and enhance the scalability of digital twin applications.Highlights What are the main findings? In the developed AI agent-based intelligent digital twin (I-DT), UBEM overcomes the limitations of the traditional UBEM approach and enables efficient analysis of urban building energy. GPT-based UBEM effectively performed the core functions of UBEM, serving as a key technology in I-UDT applications and services. What are the implications of the main findings? The I-UDT enables more accurate and comprehensive urban energy management, supporting the development of sustainable cities and carbon-neutral strategies. Implementing I-UDTs enables urban policymakers to make data-driven decisions, improve energy efficiency, and enhance the scalability of digital twin applications.Abstract The concept of digital twins (DTs) has expanded to encompass buildings and cities, with urban building energy modeling (UBEM) playing a crucial role in predicting urban-scale energy consumption via modeling individual energy use and interactions. As a virtual model within urban digital twins (UDTs), UBEM offers the potential for managing energy in sustainable cities. However, UDTs face challenges with regard to integrating large-scale data and relying on bottom-up UBEM approaches. In this study, we propose an AI agent-based intelligent urban digital twin (I-UDT) to enhance DTs' technical realization and UBEM's service functionality. Integrating GPT within the UDT enabled the efficient integration of fragmented city-scale data and the extraction of building features, addressing the limitations of the service realization of traditional UBEM. This framework ensures continuous updates of the virtual urban model and the streamlined provision of updated information to users in future studies. This research establishes the concept of an I-UDT and lays a foundation for future implementations. The case studies include (1) data analysis, (2) prediction, (3) feature engineering, and (4) information services for 3500 buildings in Seoul. Through these case studies, the I-UDT was integrated and analyzed scattered data, predicted energy consumption, derived conditioned areas, and evaluated buildings on benchmark.",PASS,PASS,PASS,FAIL,424,EXCLUDE_AUTO,EXCLURE,FAIL on C4_scope
6,Control Strategy for Building Air Conditioning Cluster Loads Participating in Demand Response Based on Cyber-Physical System,2024,Scopus | Web of Science,10.3390/en17061291,"In recent years, with rising urbanization and ongoing adjustments in industrial structures, there has been a growing dependence on public buildings. The load of public buildings gradually becomes the main component of the peak load in summer, among which the load of air conditioning is particularly prominent. To clarify the key problems and solutions to these challenges, this study proposes a multi-objective optimization control strategy for building air conditioning cluster participation in demand response based on Cyber-Physical System (CPS) architecture. In a three-layer typical CPS architecture, the unit level of the CPS achieves dynamic information perception of air conditioning clusters through smart energy terminals. An air conditioning load model based on the multiple parameter types of air conditioning compressors is presented. Then, the system level of the CPS fuses multiple pieces of information through smart energy gateways, analyzing the potential for air conditioning clusters when they participate in demand response. The system of system level (SoS level) of the CPS deploys a multi-objective optimization control strategy which includes the uncertainty of the initial states of air conditioning clusters within the intelligent building energy management system. The optimal model takes into account the differences in the environmental conditions of each individual air conditioning unit within the cluster and sets different operating modes for each unit to achieve load reduction while maintaining temperatures within a comfortable range for the human body. The Multi-Objective Particle Swarm Optimization (MOPSO) algorithm based on Pareto frontiers is applied to solve this optimization control strategy and to optimize the operational parameters of the air conditioning clusters. A comparative analysis is conducted with single-objective optimization results obtained using the traditional Particle Swarm Optimization (PSO) algorithm. The case study results indicate that the proposed multi-objective optimization control strategy can effectively improve the thermal comfort of the human body towards the controlled temperatures of air conditioning clusters while meeting the accuracy of demand response. In the solution phase, the highest temperature within the air conditioning clusters is 24 °C and the lowest temperature is 23 °C. Adopting the proposed multi-objective optimization control strategy, the highest temperature is 26 °C and the lowest temperature is 23.5 °C within the clusters and the accuracy of demand response is up to 92%. Compared to the traditional PSO algorithm, the MOPSO algorithm has advantages in convergence and optimization precision for solving the proposed multi-objective optimization control strategy. © 2024 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,410,BORDERLINE,INCLURE,"CPS multi-niveau pour AC cluster, validation, batiment public"
9,Visualised inspection system for monitoring environmental anomalies during daily operation and maintenance,2020,Scopus | Web of Science,10.1108/ecam-11-2019-0640,"Purpose: Visual inspection and human judgement form the cornerstone of daily operations and maintenance (O&M) services activities carried out by facility managers nowadays. Recent advances in technologies such as building information modelling (BIM), distributed sensor networks, augmented reality (AR) technologies and digital twins present an immense opportunity to radically improve the way daily O&M is conducted. This paper aims to describe the development of an AR-supported automated environmental anomaly detection and fault isolation method to assist facility managers in addressing problems that affect building occupants’ thermal comfort. Design/methodology/approach: The developed system focusses on the detection of environmental anomalies related to the thermal comfort of occupants within a building. The performance of three anomaly detection algorithms in terms of their ability to detect indoor temperature anomalies is compared. Based on the fault tree analysis (FTA), a decision-making tree is developed to assist facility management (FM) professionals in identifying corresponding failed assets according to the detected anomalous symptoms. The AR system facilitates easy maintenance by highlighting the failed assets hidden behind walls/ceilings on site to the maintenance personnel. The system can thus provide enhanced support to facility managers in their daily O&M activities such as inspection, recording, communication and verification. Findings: Taking the indoor temperature inspection as an example, the case study demonstrates that the O&M management process can be improved using the proposed AR-enhanced inspection system. Comparative analysis of different anomaly detection algorithms reveals that the binary segmentation-based change point detection is effective and efficient in identifying temperature anomalies. The decision-making tree supported by FTA helps formalise the linkage between temperature issues and the corresponding failed assets. Finally, the AR-based model enhanced the maintenance process by visualising and highlighting the hidden failed assets to the maintenance personnel on site. Originality/value: The originality lies in bringing together the advances in augmented reality, digital twins and data-driven decision-making to support the daily O&M management activities. In particular, the paper presents a novel binary segmentation-based change point detection for identifying temperature anomalous symptoms, a decision-making tree for matching the symptoms to the failed assets, and an AR system for visualising those assets with related information. © 2021 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,377,INCLUDE_AUTO,INCLURE,Tous criteres PASS
10,Office-in-the-Loop: an investigation into Agentic AI for advanced building HVAC control systems,2025,Scopus | Web of Science,10.1017/dce.2025.10010,"Heating, Ventilation, and Air Conditioning (HVAC) systems are major energy consumers in buildings, challenging the balance between efficiency and occupant comfort. While prior research explored generative AI for HVAC control in simulations, real-world validation remained scarce. This study addresses this gap by designing, deploying, and evaluating Office-in-the-Loop, a novel cyber-physical system leveraging generative AI within an operational office setting. Capitalizing on multimodal foundation models and Agentic AI, our system integrates real-time environmental sensor data (temperature, occupancy, etc.), occupants' subjective thermal comfort feedback, and historical context as input prompts for the generative AIto dynamically predict optimal HVAC temperature setpoints. Extensive real-world experiments demonstrate significant energy savings (up to 47.92%) while simultaneously improving comfort (up to 26.36%) compared to baseline operation. Regression analysis confirmed the robustness of our approach against confounding variables like outdoor conditions and occupancy levels. Furthermore, we introduce Data-Driven Reasoning using Agentic AI, finding that prompting the AI for data-grounded rationales significantly enhances prediction stability and enables the inference of system dynamics and cost functions, bypassing the need for traditional reinforcement learning paradigms. This work bridges simulation and reality, showcasing generative AI's potential for efficient, comfortable building environments and indicating future scalability to large systems like data centers. Impact Statement Heating, Ventilation, and Air Conditioning (HVAC) systems significantly contribute to building energy consumption, creating a challenge in balancing energy savings with occupant comfort. We demonstrated an Office-in-the-Loop control system using generative AI in a real office environment to address this issue. This system integrates diverse real-time sensor data and occupant comfort feedback, allowing the AIto autonomously determine optimal HVAC settings based on this multimodal information and historical data. Our field experiments successfully resolved the traditional energy-comfort trade-off, demonstrating substantial energy reductions (up to 47.92%) while simultaneously enhancing occupant comfort (up to 26.36%). Furthermore, our Data-Driven Reasoning prompt enhances control reliability and enables inference of system dynamics, bypassing complex reinforcement learning. This work represents a significant step toward smarter, efficient, comfortable buildings, applicable beyond offices to data centers and industrial facilities.",WEAK,PASS,PASS,PASS,352,BORDERLINE,INCLURE,"Real-world experiments office, 47.92% savings, CPS deploye"
11,Heat pump digital twin: An accurate neural network model for heat pump behaviour prediction,2025,Scopus | Web of Science,10.1016/j.apenergy.2024.124816,"Heat pumps are key in reaching the carbon emission reduction goals and can also be used to provide energy flexibility services. In this context, accurate heat pump control is crucial and requires a detailed heat pump model. Such a model should enable to take into account the latest information of the system in order to determine the expected heat pump behaviour. Several works already proposed a variety of heat pump models, but mainly adopt time steps above fifteen minutes. Given these larger time steps, the effects of the internal heat pump control strategies such as the compressor ramping rate or variable speed pump control logics are neglected. Hence, energy management systems are not able to obtain accurate information on the expected heat pump response when applying a certain control signal. Therefore, this work investigates the role of neural networks in developing a digital twin of a water/water heat pump, which adopts a time step of one minute and uses experimental data from a hardware-in-the-loop set-up. An architecture with six inputs and six outputs is proposed. The inputs contain the measured flow rates and inlet temperatures at both the evaporator and condenser, but also the measured and requested condenser outlet temperatures. The outputs of the model are the thermal capacity and electricity consumption, accompanied by the flow rates and outlet temperatures at both the evaporator and condenser. Two different types of neural networks are investigated, i.e. (1) feedforward neural networks and (2) long short-term memory neural networks using several time horizons regarding the previous heat pump operation. The models are evaluated for both a single time step ahead (monitoring) and multiple time steps ahead (behaviour prediction). Regarding the latter aspect, a long short-term memory neural network using the latest 60 min of operational data achieved the following prediction errors: electrical power consumption within ±10 % for 79.70 % of the time, condenser flow rate within ±10 % for 89.81 % of the time and condenser outlet temperature within ±1 % for 83.89 % of the time. The ability of long short-term memory neural networks to take into account previous control decisions is seen key in achieving reliable multiple time step ahead predictions. Finally, the replicability of the model to be used for a different heat emission system is also evaluated. Results show a poorer performance as the model is trained and tested on a different heat emission system, but indicate the potential for replicability when enriching the training dataset. © 2024 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,421,INCLUDE_AUTO,INCLURE,Tous criteres PASS
13,"DIGITAL TWIN FOR STRUCTURAL HEALTH MONITORING OF CULTURAL HERITAGE: THE BUILDCHAIN DEMO-PILOT, PALAZZO PONIATOWSKI-GUADAGNI IN FLORENCE",2024,Scopus,10.23967/eccomas.2024.043,"Preserving the historical and cultural value of the built environment complying with the recent EU directives addressing resilience, sustainability, and energy efficiency in the building sector, is a modern challenge for Europe, as historical urban centres are prone to earthquakes and climate extremes events. Masonry buildings are particularly relevant in this context and the proper definition of mechanical parameters can be a crucial issue since they can vary in a wide range significantly affecting the outcomes of the assessment and the intervention strategies. A robust treatment of material uncertainties would require a substantial number of material tests, which can be both costly and time-consuming, as well as not aligned with the requirements of preservation. For this reason, it is extremely useful to rely on Bayesian inverse methods for the calibration of structural models based on limited measurements of the structural response. In the paper, the main steps towards the definition of digital twin for structural purposed of a heritage building are presented with reference to a significant case study, the Palazzo Poniatowski-Guadagni in Florence, a 18th century masonry building serving today as the headquarter of the local police. First, the development of Building Information Model (BIM) based on laser scanner survey data and the subsequent derivation of Finite Element (FE) model is shown. Then, a generalized Polynomial Chaos expansion (gPCE) surrogate model is introduced to reproduce the natural frequencies of the building. The surrogate model significantly decreases the computational time of the physics-based FE model, allowing the propagation of uncertainties in material properties, such as the elastic and Poisson’s ratio of masonry, relevant for the building’s dynamic response. Global sensitivity analyses are carried out using Sobol’ indices to assess the impact of input variability on the eigenfrequencies, evaluating the need for experimental campaigns and the set-up of a structural health monitoring (SHM) system. Replacing the deterministic FE solver with a gPCE surrogate model will facilitate quasi-real-time SHM. Therefore, the outcome will be a digital twin that serves as a tool for early warning and damage detection, relying on the Bayesian inference approach. The developed digital twin will be part of the BUILDCHAIN system, including Digital Building Logbook (DBL) and BIM, contributing to demonstrate the benefits of implementing innovative DBLs for management and preservation of cultural heritage. © 2025 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,391,INCLUDE_AUTO,INCLURE,Tous criteres PASS
16,Toward cognitive digital twins using a BIM-GIS asset management system for a diffused university,2022,Scopus | Web of Science,10.3389/fbuil.2022.959475,"The integrated use of building information modeling (BIM) and geographic information system (GIS) is promising for the development of asset management systems (AMSs) for operation and maintenance (O&M) in smart university campuses. The combination of BIM-GIS with cognitive digital twins (CDTs) can further facilitate the management of complex systems such as university building stock. CDTs enable buildings to behave as autonomous entities, dynamically reacting to environmental changes. Timely decisions based on the actual conditions of buildings and surroundings can be provided, both in emergency scenarios or when optimized and adaptive performances are required. The research aims to develop a BIM-GIS-based AMS for improving user experience and enabling the optimal use of resources in the O&M phase of an Italian university. Campuses are complex assets, mainly diffused with buildings spread across the territory, managed with still document-based and fragmented databases handled by several subjects. This results in incomplete and asymmetrical information, often leading to ineffective and untimely decisions. The paper presents a methodology for the development of a BIM-GIS web-based platform (i.e., AMS-app) providing the real-time visualization of the asset in an interactive 3D map connected to analytical dashboards for management support. Two buildings of the University of Turin are adopted as demonstrators, illustrating the development of an easily accessible, centralized database by integrating spatial and functional data, useful also to develop future CDTs. As a first attempt to show the AMS app potential, crowd simulations have been conducted to understand the buildings’ actual level of safety in case of fire emergency and demonstrate how CDTs could improve it. The identification of data needed, also gathered through the future implementation of suitable sensors and Internet of Things networks, is the core issue together with the definition of effective asset visualization and monitoring methods. Future developments will explore the integration of artificial intelligence and immersive technologies to enable space use optimization and real-time wayfinding during evacuation, exploiting digital tools to alert and drive users or authorities for safety improvement. The ability to easily optimize the paths with respect to the actual occupancy and conditions of both the asset and surroundings will be enabled. © 2022 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,370,INCLUDE_AUTO,INCLURE,Tous criteres PASS
23,Digital twin based deep learning framework for personalized thermal comfort prediction and energy efficient operation in smart buildings,2025,Scopus | SpringerNature | Web of Science,10.1038/s41598-025-10086-y,"The regulation of indoor thermal comfort is a critical aspect of smart building design, significantly influencing energy efficiency and occupant well-being. Traditional comfort models, such as Fanger's equation and adaptive approaches, often fall short in capturing individual occupant preferences and the dynamic nature of indoor environmental conditions. To overcome these limitations, we introduce a Digital Twin-driven framework integrated with an advanced attention-based Long Short-Term Memory (LSTM) model specifically tailored for personalised thermal comfort prediction and intelligent HVAC control. The attention mechanism effectively focuses on critical temporal features, enhancing both predictive performance and interpretability. Next, the Digital Twin enables the real-time simulation of indoor environments and occupant responses, facilitating proactive comfort management. We utilise a subset of the ASHRAE Global Thermal Comfort Database II, and extensive pre-processing, including median-based data imputation and feature normalisation, is conducted. The proposed model categorises Thermal Sensation Votes (TSVs) recorded on a 7-point ASHRAE scale into three classes: Uncomfortably Cold (UC) for TSV \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\le$$\end{document}-1, Neutral (N) for TSV = 0, and Uncomfortably Warm (UW) for TSV \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\ge$$\end{document}+1. The model achieves a test accuracy of 83.8%, surpassing previous state-of-the-art methods. Furthermore, Explainable AI (XAI) techniques, such as SHAP and LIME, are integrated to enhance transparency and interpretability, complemented by scenario-based energy efficiency analyses to evaluate energy-comfort trade-offs. This comprehensive approach provides a robust, interpretable, and energy-efficient solution for occupant-centric HVAC management in smart building systems.",PASS,WEAK,PASS,PASS,295,BORDERLINE,INCLURE,"DT explicite + LSTM, validation ASHRAE dataset (mon pilote)"
24,A digital twin architecture for real-time and offline high granularity analysis in smart buildings,2023,Scopus | Web of Science,10.1016/j.scs.2023.104795,"Smart buildings aim to create a safe, comfortable and sustainable environment for the occupants while increasing the energy performance of the building to reduce the environmental footprint and operational cost. Towards this direction, the use of model-based digital twins able to simulate key aspects of the building is important. Despite the utilization of various digital twin approaches for smart buildings in recent years, most of these approaches mainly focus on one aspect of the building, such as indoor environmental quality or energy consumption. This observation necessitates the development of a virtual but realistic and non-invasive environment able to simulate all the key domains of the building, including indoor air quality, thermal comfort, and energy consumption. Towards this direction, this work proposes an architecture for smart buildings investigations, that emulates the thermal comfort, air-quality, and electricity consumption of the building, while considering the activities and behavior of occupants. For simulating the building operations, ordinary differential equations and power balance modeling are incorporated to facilitate real-time or faster than real-time digital twin approaches, while computational fluid dynamics modeling is used complementarily, to enable higher granularity simulations for offline analysis. Both models have been validated in a real building achieving less than 1% average zone temperature error between the simulation models and the actual building sensor measurements. Furthermore, a user-friendly software platform has been developed and integrated with the proposed architecture, where multiple important features and characteristics have been included to enable various investigations. In particular, the developed platform enables physical and simulated building integration, model calibration using field measurements, experimental configuration and management, execution of novel what-if investigations, and evaluation of novel algorithms using hardware-in-the-loop configurations. The proposed architecture is applied in a physical building, allowing the demonstration of several investigations and the execution of interesting use-cases. © 2023 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,313,INCLUDE_AUTO,INCLURE,Tous criteres PASS
25,A hardware-in-the-loop (HIL) testbed for cyber-physical energy systems in smart commercial buildings,2024,Scopus,10.1080/23744731.2024.2336839,"In recent years, there has been a growing trend toward the development of smart buildings that rely on cyber-physical systems (CPS) to optimize occupant comfort, safety, and energy efficiency. To ensure the reliable and efficient operation of CPS with designed control strategies, it is important to evaluate their performance under various scenarios before deploying them in the real world. This is where a Hardware-in-the-loop (HIL) testbed designed for studying sensor and control-related studies in smart buildings can be highly valuable. With the growing threat of cyber-attacks and physical faults targeting smart buildings, it is essential to ensure the security of building operations. A HIL testbed can emulate cyber-attack and physical fault scenarios, allowing researchers to develop and test threat detection and mitigation algorithms. This enables researchers to identify potential issues and optimize the algorithms in a safe and controlled environment before they are deployed in real-world settings, reducing the risk of failures that can negatively impact occupant comfort, safety, and energy efficiency. Therefore, this paper developed a HIL testbed designed for cyber-physical energy systems (e.g. buildings automation system (BAS)) in smart commercial buildings. The HIL testbed is comprised of a real-time building and Heating, Ventilation, and Air-Conditioning (HVAC) emulator using Modelica-based dynamic models, a set of BAS controllers, and a BAS computer server. The data generation capability of the HIL testbed is demonstrated by tracking normal and faulty operating data in the BAS, as well as monitoring detailed network traffic in the local BAS network. This study further demonstrates the HIL testbed’s capability by conducting case studies on real-time physical fault and cyber-attack experiments using a Department of Energy (DOE) prototype commercial building. It is anticipated that the fully functional HIL testbed will be utilized for a variety of sensor and control-related studies, including but not limited to testing, developing, validating of different HVAC control strategies, fault detection & diagnosis, energy monitoring and analysis, cyber security study, etc. © 2024 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,341,BORDERLINE,INCLURE,HIL testbed CPS smart commercial buildings
