index,title,year,doi,pdf_status,fulltext_decision,kritzinger_level,building_scope,validation_type,domain,motif,category
6,Control Strategy for Building Air Conditioning Cluster Loads Participating in Demand Response Based on Cyber-Physical System,2024,10.3390/en17061291,AVAILABLE,INCLURE,Shadow,individual,simulation_only,HVAC,"CPS multi-niveau pour AC cluster, MOPSO optimization, case study, demand response 92%",Cat2_HVAC_Thermal_Control
24,A digital twin architecture for real-time and offline high granularity analysis in smart buildings,2023,10.1016/j.scs.2023.104795,AVAILABLE,INCLURE,Twin,individual,real_deployment,ENERGY_MGMT,"DT real-time + offline + IAQ + thermal + electricity, validated <1% error in real building",Cat1_Energy_Management_Performance
25,A hardware-in-the-loop (HIL) testbed for cyber-physical energy systems in smart commercial buildings,2024,10.1080/23744731.2024.2336839,AVAILABLE,INCLURE,Twin,individual,testbed,ENERGY_MGMT,"HIL testbed CPS smart commercial buildings, DOE prototype, BAS controllers",Cat1_Energy_Management_Performance
33,"Thermal modeling of existing buildings in high-fidelity simulators: A novel, practical methodology",2023,10.1016/j.enbuild.2023.113127,AVAILABLE,INCLURE,Twin,individual,pilot,HVAC,"Thermal modeling existing buildings, novel methodology, case study, validation real building",Cat2_HVAC_Thermal_Control
42,Modeling indoor thermal comfort in buildings using digital twin and machine learning,2024,10.1016/j.dibe.2024.100480,AVAILABLE,INCLURE,Twin,individual,real_deployment,COMFORT,"DT+IoT+BIM platform thermal comfort, case study real building, FB Prophet/NeuralProphet",Cat3_Indoor_Comfort_IAQ
53,A customizable benchmarking tool for evaluating personalized thermal comfort provisioning in smart spaces using Digital Twins,2025,10.1016/j.pmcj.2025.102076,AVAILABLE,INCLURE,Twin,individual,simulation_only,COMFORT,"Co-zyBench DT benchmarking tool, building+occupant DTs, co-simulation, real building reference",Cat3_Indoor_Comfort_IAQ
54,A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin,2023,10.1016/j.apenergy.2022.120496,AVAILABLE,INCLURE,Twin,individual,simulation_only,ENERGY_MGMT,"DT-based BEF dispatch strategy, simulation 98.4% ideal, parameter fault tolerance",Cat1_Energy_Management_Performance
67,BIM and IoT Sensors Integration: A Framework for Consumption and Indoor Conditions Data Monitoring of Existing Buildings,2021,10.3390/su13084496,AVAILABLE,INCLURE,Shadow,individual,pilot,ENERGY_MGMT,"BIM+IoT integration, real-time data, case study Italy, Revit+Dynamo+API",Cat1_Energy_Management_Performance
72,Multi-indicator adaptive HVAC control system for low-energy indoor air quality management of heritage building preservation,2023,10.1016/j.buildenv.2023.110910,AVAILABLE,INCLURE,Twin,individual,simulation_only,HVAC,"Multi-indicator HBIM-DT adaptive HVAC IAQ heritage, CFD simulation, 30% energy savings",Cat2_HVAC_Thermal_Control
74,Thermal performance improvement for residential heritage building preservation based on digital twins,2024,10.1016/j.jobe.2023.108283,AVAILABLE,INCLURE,Twin,individual,simulation_only,STRUCTURAL,"DT-HBIM heritage thermal performance, CFD+structural, 62.9% deformation reduction",Cat4_Maintenance_Structural_Health
78,Optimizing legacy building operation: The evolution into data-driven predictive cyber-physical systems,2017,10.1016/j.enbuild.2017.05.002,AVAILABLE,INCLURE,Twin,individual,real_deployment,HVAC,"CPS Spanish school heating system, 43 days winter 2015/2016, energy savings 1/3",Cat2_HVAC_Thermal_Control
88,A data-driven building thermal zoning algorithm for digital twin-enabled advanced control,2025,10.1016/j.enbuild.2025.115633,AVAILABLE,INCLURE,Shadow,individual,pilot,HVAC,"Data-driven thermal zoning DT-enabled, large educational building 168 rooms 262 sensors",Cat2_HVAC_Thermal_Control
89,Predictive Analysis of a Building’s Power Consumption Based on Digital Twin Platforms,2024,10.3390/en17153692,AVAILABLE,INCLURE,Twin,individual,pilot,ENERGY_MGMT,"DT O&M platform campus building (BIM education center), IoT+smart meter, BP NN",Cat1_Energy_Management_Performance
94,Digital twins for secure thermal energy storage in building,2023,10.1016/j.apenergy.2023.120907,AVAILABLE,INCLURE,Twin,individual,simulation_only,RENEWABLES_STORAGE,"DT thermal energy storage Phase Change Material, intelligent building, simulation",Cat1_Energy_Management_Performance
99,Intelligent Monitoring Platform and Application for Building Energy Using Information Based on Digital Twin,2023,10.3390/en16196839,AVAILABLE,INCLURE,Twin,individual,simulation_only,ENERGY_MGMT,"DT framework BIM+IoT office building, DesignBuilder simulation, 30% max savings",Cat1_Energy_Management_Performance
106,A digital-twin evaluation of Net Zero Energy Building for existing buildings,2019,10.3390/su11010159,AVAILABLE,INCLURE,Shadow,individual,simulation_only,ENERGY_MGMT,"DT NZEB existing buildings, BIM+hierarchy-flow chart, UK case study, 23 year ROI",Cat1_Energy_Management_Performance
112,Lean and interpretable digital twins for building energy monitoring – A case study with smart thermostatic radiator valves and gas absorption heat pumps,2023,10.1016/j.egyai.2023.100304,AVAILABLE,INCLURE,Shadow,individual,real_deployment,ENERGY_MGMT,"Lean DT building energy monitoring TRV+GAHP, M&V regression rolling horizon",Cat1_Energy_Management_Performance
114,Digital twin implementation based on a white-box building energy model: A case study on blind control for passive heating,2025,10.1016/j.enbuild.2025.116454,AVAILABLE,INCLURE,Twin,individual,simulation_only,ENVELOPE,"DT white-box BEM educational building, blind control passive heating, EnergyPlus, real weather",Cat1_Energy_Management_Performance
121,Digital Twin framework for automated fault source detection and prediction for comfort performance evaluation of existing non-residential Norwegian buildings,2023,10.1016/j.enbuild.2022.112732,AVAILABLE,INCLURE,Twin,individual,pilot,MAINTENANCE,"DT framework fault detection comfort BIM+sensors+BN, 2 case studies Norway 2019-2022",Cat4_Maintenance_Structural_Health
124,Multi-stage calibration framework for a digital twin model in building operations: Cold chain logistics centers case study,2025,10.1016/j.enbuild.2025.115662,AVAILABLE,INCLURE,Twin,individual,real_deployment,HVAC,"Multi-stage calibration DT cold chain logistics center, EnergyPlus+PSO, real-world building",Cat2_HVAC_Thermal_Control
