idx,title,year,category,python,matlab,r_lang,java,javascript,cpp,energyplus,trnsys,modelica,openstudio,ida_ice,designbuilder,espr,ansys_fluent,openfoam,revit,ifc,dynamo,rhino,azure_dt,eclipse_ditto,aws_iot,ibm_maximo,mqtt,opc_ua,bacnet,rest_api,http,coap,modbus,knx,zigbee,lorawan,websocket,fmi_fmu,lstm,bilstm,transformer,cnn,rf_ensemble,ann,rnn,rl,mpc,ga,pso,bayesian,transfer_learning,cfd_sim,fem,agent_based,co_simulation,rom_reduced_order,monte_carlo,iot_general,wifi_probe,ble_bluetooth,raspberry_pi,arduino,esp32,lidar_scanner,temp_sensor,co2_sensor,occupancy_pir,camera_sensor,energy_meter,hil,sil,real_deployment,case_study,testbed,ontology,knowledge_graph,blockchain,edge_computing,fog_computing,cloud_computing,cybersec
6,Control Strategy for Building Air Conditioning Cluster Loads Participating in De,2024,HVAC,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
24,A digital twin architecture for real-time and offline high granularity analysis ,2023,ENERGY_MGMT,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
25,A hardware-in-the-loop (HIL) testbed for cyber-physical energy systems in smart ,2024,ENERGY_MGMT,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,True
33,"Thermal modeling of existing buildings in high-fidelity simulators: A novel, pra",2023,HVAC,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
42,Modeling indoor thermal comfort in buildings using digital twin and machine lear,2024,COMFORT,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False
53,A customizable benchmarking tool for evaluating personalized thermal comfort pro,2025,COMFORT,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
54,A data-model fusion dispatch strategy for the building energy flexibility based ,2023,ENERGY_MGMT,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
67,BIM and IoT Sensors Integration: A Framework for Consumption and Indoor Conditio,2021,ENERGY_MGMT,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False
72,Multi-indicator adaptive HVAC control system for low-energy indoor air quality m,2023,HVAC,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
74,Thermal performance improvement for residential heritage building preservation b,2024,STRUCTURAL,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
78,Optimizing legacy building operation: The evolution into data-driven predictive ,2017,HVAC,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
