index,Title,Year,Database,DOI,Abstract,C1_dt,C2_validation,C3_abstract,C4_scope,abstract_words,bucket_v3,decision_v3_human,motif_v3_human
6,Control Strategy for Building Air Conditioning Cluster Loads Participating in Demand Response Based on Cyber-Physical System,2024,Scopus | Web of Science,10.3390/en17061291,"In recent years, with rising urbanization and ongoing adjustments in industrial structures, there has been a growing dependence on public buildings. The load of public buildings gradually becomes the main component of the peak load in summer, among which the load of air conditioning is particularly prominent. To clarify the key problems and solutions to these challenges, this study proposes a multi-objective optimization control strategy for building air conditioning cluster participation in demand response based on Cyber-Physical System (CPS) architecture. In a three-layer typical CPS architecture, the unit level of the CPS achieves dynamic information perception of air conditioning clusters through smart energy terminals. An air conditioning load model based on the multiple parameter types of air conditioning compressors is presented. Then, the system level of the CPS fuses multiple pieces of information through smart energy gateways, analyzing the potential for air conditioning clusters when they participate in demand response. The system of system level (SoS level) of the CPS deploys a multi-objective optimization control strategy which includes the uncertainty of the initial states of air conditioning clusters within the intelligent building energy management system. The optimal model takes into account the differences in the environmental conditions of each individual air conditioning unit within the cluster and sets different operating modes for each unit to achieve load reduction while maintaining temperatures within a comfortable range for the human body. The Multi-Objective Particle Swarm Optimization (MOPSO) algorithm based on Pareto frontiers is applied to solve this optimization control strategy and to optimize the operational parameters of the air conditioning clusters. A comparative analysis is conducted with single-objective optimization results obtained using the traditional Particle Swarm Optimization (PSO) algorithm. The case study results indicate that the proposed multi-objective optimization control strategy can effectively improve the thermal comfort of the human body towards the controlled temperatures of air conditioning clusters while meeting the accuracy of demand response. In the solution phase, the highest temperature within the air conditioning clusters is 24 °C and the lowest temperature is 23 °C. Adopting the proposed multi-objective optimization control strategy, the highest temperature is 26 °C and the lowest temperature is 23.5 °C within the clusters and the accuracy of demand response is up to 92%. Compared to the traditional PSO algorithm, the MOPSO algorithm has advantages in convergence and optimization precision for solving the proposed multi-objective optimization control strategy. © 2024 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,410,BORDERLINE,INCLURE,"CPS multi-niveau pour AC cluster, validation, batiment public"
10,Office-in-the-Loop: an investigation into Agentic AI for advanced building HVAC control systems,2025,Scopus | Web of Science,10.1017/dce.2025.10010,"Heating, Ventilation, and Air Conditioning (HVAC) systems are major energy consumers in buildings, challenging the balance between efficiency and occupant comfort. While prior research explored generative AI for HVAC control in simulations, real-world validation remained scarce. This study addresses this gap by designing, deploying, and evaluating Office-in-the-Loop, a novel cyber-physical system leveraging generative AI within an operational office setting. Capitalizing on multimodal foundation models and Agentic AI, our system integrates real-time environmental sensor data (temperature, occupancy, etc.), occupants' subjective thermal comfort feedback, and historical context as input prompts for the generative AIto dynamically predict optimal HVAC temperature setpoints. Extensive real-world experiments demonstrate significant energy savings (up to 47.92%) while simultaneously improving comfort (up to 26.36%) compared to baseline operation. Regression analysis confirmed the robustness of our approach against confounding variables like outdoor conditions and occupancy levels. Furthermore, we introduce Data-Driven Reasoning using Agentic AI, finding that prompting the AI for data-grounded rationales significantly enhances prediction stability and enables the inference of system dynamics and cost functions, bypassing the need for traditional reinforcement learning paradigms. This work bridges simulation and reality, showcasing generative AI's potential for efficient, comfortable building environments and indicating future scalability to large systems like data centers. Impact Statement Heating, Ventilation, and Air Conditioning (HVAC) systems significantly contribute to building energy consumption, creating a challenge in balancing energy savings with occupant comfort. We demonstrated an Office-in-the-Loop control system using generative AI in a real office environment to address this issue. This system integrates diverse real-time sensor data and occupant comfort feedback, allowing the AIto autonomously determine optimal HVAC settings based on this multimodal information and historical data. Our field experiments successfully resolved the traditional energy-comfort trade-off, demonstrating substantial energy reductions (up to 47.92%) while simultaneously enhancing occupant comfort (up to 26.36%). Furthermore, our Data-Driven Reasoning prompt enhances control reliability and enables inference of system dynamics, bypassing complex reinforcement learning. This work represents a significant step toward smarter, efficient, comfortable buildings, applicable beyond offices to data centers and industrial facilities.",WEAK,PASS,PASS,PASS,352,BORDERLINE,INCLURE,"Real-world experiments office, 47.92% savings, CPS deploye"
23,Digital twin based deep learning framework for personalized thermal comfort prediction and energy efficient operation in smart buildings,2025,Scopus | SpringerNature | Web of Science,10.1038/s41598-025-10086-y,"The regulation of indoor thermal comfort is a critical aspect of smart building design, significantly influencing energy efficiency and occupant well-being. Traditional comfort models, such as Fanger's equation and adaptive approaches, often fall short in capturing individual occupant preferences and the dynamic nature of indoor environmental conditions. To overcome these limitations, we introduce a Digital Twin-driven framework integrated with an advanced attention-based Long Short-Term Memory (LSTM) model specifically tailored for personalised thermal comfort prediction and intelligent HVAC control. The attention mechanism effectively focuses on critical temporal features, enhancing both predictive performance and interpretability. Next, the Digital Twin enables the real-time simulation of indoor environments and occupant responses, facilitating proactive comfort management. We utilise a subset of the ASHRAE Global Thermal Comfort Database II, and extensive pre-processing, including median-based data imputation and feature normalisation, is conducted. The proposed model categorises Thermal Sensation Votes (TSVs) recorded on a 7-point ASHRAE scale into three classes: Uncomfortably Cold (UC) for TSV \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\le$$\end{document}-1, Neutral (N) for TSV = 0, and Uncomfortably Warm (UW) for TSV \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\ge$$\end{document}+1. The model achieves a test accuracy of 83.8%, surpassing previous state-of-the-art methods. Furthermore, Explainable AI (XAI) techniques, such as SHAP and LIME, are integrated to enhance transparency and interpretability, complemented by scenario-based energy efficiency analyses to evaluate energy-comfort trade-offs. This comprehensive approach provides a robust, interpretable, and energy-efficient solution for occupant-centric HVAC management in smart building systems.",PASS,WEAK,PASS,PASS,295,BORDERLINE,INCLURE,"DT explicite + LSTM, validation ASHRAE dataset (mon pilote)"
25,A hardware-in-the-loop (HIL) testbed for cyber-physical energy systems in smart commercial buildings,2024,Scopus,10.1080/23744731.2024.2336839,"In recent years, there has been a growing trend toward the development of smart buildings that rely on cyber-physical systems (CPS) to optimize occupant comfort, safety, and energy efficiency. To ensure the reliable and efficient operation of CPS with designed control strategies, it is important to evaluate their performance under various scenarios before deploying them in the real world. This is where a Hardware-in-the-loop (HIL) testbed designed for studying sensor and control-related studies in smart buildings can be highly valuable. With the growing threat of cyber-attacks and physical faults targeting smart buildings, it is essential to ensure the security of building operations. A HIL testbed can emulate cyber-attack and physical fault scenarios, allowing researchers to develop and test threat detection and mitigation algorithms. This enables researchers to identify potential issues and optimize the algorithms in a safe and controlled environment before they are deployed in real-world settings, reducing the risk of failures that can negatively impact occupant comfort, safety, and energy efficiency. Therefore, this paper developed a HIL testbed designed for cyber-physical energy systems (e.g. buildings automation system (BAS)) in smart commercial buildings. The HIL testbed is comprised of a real-time building and Heating, Ventilation, and Air-Conditioning (HVAC) emulator using Modelica-based dynamic models, a set of BAS controllers, and a BAS computer server. The data generation capability of the HIL testbed is demonstrated by tracking normal and faulty operating data in the BAS, as well as monitoring detailed network traffic in the local BAS network. This study further demonstrates the HIL testbed’s capability by conducting case studies on real-time physical fault and cyber-attack experiments using a Department of Energy (DOE) prototype commercial building. It is anticipated that the fully functional HIL testbed will be utilized for a variety of sensor and control-related studies, including but not limited to testing, developing, validating of different HVAC control strategies, fault detection & diagnosis, energy monitoring and analysis, cyber security study, etc. © 2024 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,341,BORDERLINE,INCLURE,HIL testbed CPS smart commercial buildings
34,A synergistic approach using digital twins and statistical machine learning for intelligent residential energy modelling,2025,Scopus | SpringerNature | Web of Science,10.1038/s41598-025-09760-y,"The growing need for energy efficiency in buildings has driven significant improvements in digitalisation and intelligent energy management. Traditional energy management techniques often fail to address dynamic energy demands and user preferences, leading to inefficiencies and increased costs. This paper proposes a framework that integrates Digital Twin (DT) systems with Artificial Intelligence (AI) algorithms for intelligent building energy consumption assessment by developing real-time virtual twin representations. Unlike conventional DT models used mainly for visualization or simulation, the proposed approach leverages DTs as adaptive, data-driven decision-making tools that evolve through continuous IoT sensor feedback. This dynamic representation of physical systems enables real-time energy optimization and facilitates intelligent control to enhance both efficiency and sustainability. The system categorizes buildings into energy-efficient and non-energy-efficient groups with an accuracy of 98% by leveraging IoT sensor data, along with Random Forest, Deep Neural Networks, Long Short-Term Memory networks, and Bidirectional Long Short-Term Memory networks. The framework encompasses comprehensive data preprocessing, feature engineering, and the implementation of cutting-edge AI techniques, highlighting the transformative potential of this integrated approach. The results, illustrated through various graphical representations, demonstrate the critical role of DT and AI in optimising energy management, minimising waste, and driving sustainability in industrial and urban environments. Confusion matrices and performance metric graphs reveal that the Random Forest model outperforms other techniques. Meanwhile, training curves and feature importance visualizations provide insights into model behaviour and key factors influencing energy efficiency. This research underscores the significance of combining real-time DT environments with intelligent learning models to address modern energy efficiency challenges and support the development of adaptive, sustainable building systems. © 2025 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,WEAK,281,BORDERLINE,INCLURE,"DT explicite IoT residential, 98% accuracy validation"
54,A data-model fusion dispatch strategy for the building energy flexibility based on the digital twin,2023,Scopus | Web of Science,10.1016/j.apenergy.2022.120496,"With the growing percentage of the intermittent renewable power generation, the energy system is under increasing pressure in balancing the supply and the demand. As a major part of urban energy consumptions, buildings can provide considerable regulation flexibility for the energy system by actively managing their energy demands. For the building energy flexibility (BEF) provided by thermostatically controlled loads (TCL), its dispatch performance is vulnerable to the building thermal parameter errors, and in some cases, occupants need to provide the critical information related to the indoor temperature state and the occupancy state to the energy management system outside buildings, which decreases the availability of the BEF and raises privacy concerns. For these issues in the BEF utilization, this paper proposes a data-model fusion dispatch strategy based on the digital twin (DT). The proposed strategy is capable of parameter fault tolerance and privacy protection by combining the model-free advantage of the data-driven method with the analytical optimization advantage of the model-driven method. Firstly, a DT-based BEF dispatch framework is proposed. Secondly, the building DT is established by combining the building thermal dynamics (BTD) data-driven model and the TCL operation mechanism model. And the building response deduction is carried out based on the DT. Finally, under the rolling optimization framework, the data-model fusion dispatch strategy is devised by uniting the DT deduction and the optimization constructed by the BTD mechanism model, in which the multi-dimensional modeling of the BTD is carried out from the state dimension and the energy dimension. The simulation results show that the optimization result can reach 98.4% of the ideal result under the scenario with 15% parameter random error, and 98.3% of the ideal result under the scenario with 15% random state noise injection. © 2023 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,303,BORDERLINE,INCLURE,"DT batiment energy flexibility, dispatch strategy"
60,Physical-Based Reduced-Order Model for Buildings Energy Efficiency,2025,Web of Science,10.1007/978-3-031-71867-0_38,"This research aims to investigate the feasibility and possible benefits of applying Reduced-Order Models (ROMs) to the Architecture, Engineering and Construction sector. The reduced-order model is a methodology for designing complex systems that exploit the synergy of interacting phenomena. Although it can significantly speed up design and run dynamic simulations, this technique is still not widely applied in the AEC field. Other industries often use them to optimize systems performance, create digital twins, and streamline multidisciplinary optimization methodology. The first section of this paper describes the proposed methodology, followed by the study of the advantages and limitations compared to traditional design systems, including an analysis of current research and applications. Instead of a prescriptive design based on the worst-case scenarios, this kind of simulation enables performance-based design with partial loads and dynamic behavior. This innovative approach makes it possible to support the designer during the conceptual phase and deal with the design problem more consciously to realize more sustainable and comfortable solutions. ROMs require low computational capacity and thus can handle real-time sensor data during operation and maintenance. A drawback is the difficulty of understand and model the physics underlying a specific system. The last section presents an operational workflow and the early stage of a test application that explores how physical-based ROM can support the designer in defining energy interventions on an existing building's classroom. Thermal and energy behavior, heating, ventilation, and air conditioning systems and their interaction have been modeled. The final step consists in incorporating subsystems representing potential active and passive energy improvement interventions to understand how the system improves and minimizes energy consumption improving indoor environmental quality.",PASS,WEAK,PASS,PASS,278,BORDERLINE,EXCLURE,"ROM conceptuel sans validation propre, methodologique"
74,Thermal performance improvement for residential heritage building preservation based on digital twins,2024,Scopus | Web of Science,10.1016/j.jobe.2023.108283,"Excessive temperatures can result in the collapse of structural components, cracking, scaling, and condensation in heritage building structures. Numerous unregenerated residential heritage buildings use portable heaters to adjust the indoor temperature for the comfort of occupants. However, research on the impact of heaters on the preservation of heritage buildings is limited. This paper proposes a novel and systematic approach based on digital twin technology to improve thermal performance effectively in unregenerated heritage buildings by arranging the locations and settings of heaters for improving building preservation. This research extended the functionality of heritage building information modeling (HBIM) to support simulations and decision-making to improve the thermal performance for heritage building preservation. An approach was proposed to address the lack of information by integrating documents, information, and graphics into an HBIM model for heritage building preservation. The digital model process based on HBIM presented in this study can be an effective 3D model for computational fluid dynamics (CFD) simulations. To investigate the impact of the heater on heritage building deformation, a novel method was developed to couple CFD and structural simulation to analyze the thermal performance and building deformation of heritage buildings. The heritage building deformation resulting from the heaters’ power setting and location was identified and quantified. In addition, using the proposed digital twin platform, heaters were controlled automatically. The thermal performance, building cracking and deformation were monitored and recorded automatically along the lifecycle. The improved heater location reduced the maximum total deformation of the heritage building body by at least 62.9 %. © 2023 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,260,BORDERLINE,INCLURE,"DT heritage building, CFD simulation, single building"
76,Building Energy Assessment of Thermal and Electrical Properties for Compact Cities: Case Study of a Multi-Purpose Building in South Korea,2025,Scopus | Web of Science,10.3390/buildings15173023,"This study conducts a simulation-based assessment of a recently commissioned office building in the Republic of Korea, representing a typical public office facility. The building was modeled using EnergyPlus 23.1.0 after construction, although no validation was performed due to the absence of metered consumption data. Previous approaches relying on simplified methods such as the Radiant Time Series (RTS), which neglect dynamic building behavior, have often led to overestimated cooling and heating loads. This has emerged as a major obstacle in designing energy-efficient buildings within the context of compact and smart cities pursuing carbon neutrality. Consequently, the trend in building performance analysis is shifting toward dynamic simulations and digital twin-based design methodologies. Furthermore, electrification of buildings without adequate thermal load assessment may also contribute to overdesign, irrespective of urban environmental characteristics. From an urban planning standpoint, there is a growing need for performance criteria that reflect occupant behavior and actual usage patterns. However, dynamics-based building studies remain scarce in the Republic of Korea. In this context, the present study demonstrates that passive design strategies, implemented through systematic changes in envelope materials, HVAC operational standards, and compliance with ASHRAE 90.1 criteria, can significantly enhance thermal comfort and indoor air quality. The simulation results show that energy consumption can be reduced by over 36.21% without compromising occupant health or comfort. These findings underscore the importance of thermal load understanding prior to electrification and highlight the potential of LEED-aligned passive strategies for achieving high-performance, low-energy buildings. © 2025 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,WEAK,260,BORDERLINE,EXCLURE,Auteurs declarent 'no validation was performed' — disqualifiant
78,Optimizing legacy building operation: The evolution into data-driven predictive cyber-physical systems,2017,Web of Science,10.1016/j.enbuild.2017.05.002,"Fossil fuels serve a substantial fraction of global energy demand, and one major energy consumer is the global building stock. In this work, we propose a framework to guide practitioners intending to develop advanced predictive building control strategies. The framework provides the means to enhance legacy and modernized buildings regarding energy efficiency by integrating their available instrumentation into a data-driven predictive cyber-physical system. For this, the framework fuses two highly relevant approaches and embeds these into the building context: the generic model-based design methodology for cyber-physical systems and the cross-industry standard process for data mining. A Spanish school's heating system serves to validate the approach. Two different data-driven approaches to prediction and optimization are used to demonstrate the methodological flexibility: (i) a combination of Bayesian regularized neural networks with genetic algorithm based optimization, and (ii) a reinforcement learning based control logic using fitted Q-iteration are both successfully applied. Experiments lasting a total of 43 school days in winter 2015/2016 achieved positive effects on weather-normalized energy consumption and thermal comfort in day-to-day operation. A first experiment targeting comfort levels comparable to the reference period lowered consumption by one-third. Two additional experiments raised average indoor temperatures by 2 K. The better of these two experiments only consumed 5% more energy than the reference period. The prolonged experimentation period demonstrates the cyber-physical system based approach's suitability for improving building stock energy efficiency by developing and deploying predictive control strategies within routine operation of typical legacy buildings. (C) 2017 Elsevier B.V. All rights reserved.",WEAK,PASS,PASS,PASS,266,BORDERLINE,INCLURE,"CPS Spanish school, 43 days winter validation, real data"
