Title,Abstract,Year,Authors,DOI,Source,Keywords,Database,Document_Type
Real-time temperature prediction of large-scale lithium battery module driven by data based on few measurement points; 基于少测点数据驱动的大规模锂电池模组温度实时预测,"Accurate real-time temperature prediction in electrochemical energy storage systems plays a critical role in enhancing battery performance, extending lifespan, and preventing thermal runaway, a major safety concern. Proper thermal management ensures uniform heat distribution, which is essential for optimizing efficiency, safety, and reliability. However, obtaining comprehensive real-time temperature data for large-scale battery systems is challenging due to the high costs, complexity, and impracticality of deploying extensive sensor networks. This challenge highlights the need for data-driven methods to infer complete temperature fields from sparse measurements, addressing the inverse problem of temperature reconstruction. This study presents a data-driven approach using the gappy proper orthogonal decomposition (Gappy POD) algorithm, a reduced-order modeling technique, for real-time temperature monitoring of large-scale battery modules. Gappy POD is particularly well-suited for scenarios with limited sensor data, as it leverages spatial correlations to reconstruct the full temperature field. The proposed methodology is validated through experimental data collection and numerical simulations of large-format prismatic battery modules, which capture the thermal behavior of the battery thermal management system and support the development of a digital twin of the energy storage system. To maximize data efficiency and minimize computational costs, we employ the Latin hypercube sampling (LHS) method to design a small but representative temperature database. This database captures essential thermal characteristics of the battery module, allowing for accurate temperature predictions without exhaustive simulations. The Gappy POD algorithm is further enhanced by incorporating a correlation coefficient filtering technique, which identifies a minimal set of optimal measurement points to ensure high accuracy in the reconstructed temperature field while reducing sensor requirements. In our experiments, we used temperature data from only eight surface measurement points to reconstruct the temperature distribution across 48 battery cells, covering 240 internal and external temperature points. The results show that the reconstructed temperature profiles closely matched actual data, demonstrating the effectiveness of the Gappy POD algorithm. The reconstructed temperature curves showed a strong temporal correlation with the measured data, even under varying conditions. However, near the liquid cooling plate, where temperature gradients are more nonlinear, reconstruction error increased slightly. Despite this, the maximum absolute error remains within 0.3 K, highlighting the robustness of the method. This slight error increase is attributed to the complex heat transfer dynamics near cooling interfaces, which pose challenges for most data-driven models. This study highlights the effectiveness of the Gappy POD algorithm in managing the thermal dynamics of large-scale energy storage systems in real time. By minimizing the need for extensive sensor networks and reducing computational costs, it provides a resource-efficient solution for accurate temperature monitoring and control. The integration with a small-sample database further enhances its applicability to large-scale systems. These insights pave the way for developing digital twins, which facilitate predictive maintenance, fault detection, and optimized operational strategies. Accurate temperature reconstruction is crucial for building these digital twins, providing a solid foundation for their future deployment. Integrating Gappy POD with other models can improve the overall efficiency, safety, and reliability of energy storage systems, driving advancements in smart and sustainable energy management solutions. © 2025 Elsevier B.V., All rights reserved.",2025,"Han, J.; Yuan, Q.; Li, Y.; Zhang, B.; Xue, K.; Lan, T.",10.13374/j.issn2095-9389.2024.05.23.002,Gongcheng Kexue Xuebao/Chinese Journal of Engineering,digital twin; energy storage battery module; Gappy POD method; reduced order model; small sample database ; Access control; Associative storage; Budget control; Channel estimation; Cracking (chemical); Direction of arrival; Ferroelectric RAM; Formal concept analysis; Frequency estimation; Membrane technology; Nuclear batteries; Pyrometry; Thermography (temperature measurement); Time difference of arrival; Virtual storage; Waste treatment; Battery modules; Energy; Energy storage battery module; Gappy proper orthogonal decomposition method; Proper-orthogonal-decomposition method; Reduced order modelling; Reduced-order model; Sample Database; Small sample database; Small samples; Storage battery; Network security,Scopus,Article
Smart connected buildings design automation: Foundations and trends,"Buildings are the result of a complex integration of multi-physics subsystems. Besides the obvious civil engineering infrastructure, thermal, electrical, mechanical, control, communication and computing subsystems must co-exist and be operated so that the overall operation is smooth and efficient. This is particularly important for commercial buildings but is also very relevant for residential buildings especially apartment buildings. Unfortunately, the design and deployment of these subsystems is rarely synchronized: lighting, security, heating, ventilation and air conditioning systems are often designed independently. However, simply putting together a collection of sub-systems, albeit optimized, has led to inefficient buildings of today. Worldwide, buildings consume 42% of all electrical power - more than any other asset - and it can be proven that much of this can be reduced if a holistic approach to design, deployment and operation is taken. Government agencies, academic institutions, building contractors and owners have realized the significant impact of buildings on the global environment, the electrical grid, and the mission of their organizations. However, the economic impact for all constituencies is still difficult to assess. Government regulations can play a fundamental role, as it has been the case for the transportation industry where regulations on emission and fuel consumption have been the single most important factor of innovation in automotive design. We are convinced that by leveraging technology and utilizing a system-level approach to buildings, they will provide comfort, safety and functionality while minimizing energy cost, supporting a robust electric grid and mitigating environmental impact. Realizing this vision requires adding intelligence from the beginning of the design phase, to deployment, from commissioning to operation, all the way to the end of the building's life cycle. In this issue, we attempt to provide an overview of the activities in the field of smart connected building design automation that attempts to make the vision a reality. The overarching range of such activities includes developing simulation tools for modeling and design of buildings, and consequently control algorithms proposed to make buildings smarter and more efficient. Further, we will review real-world and large-scale implementation of such control strategies on physical buildings. We then present a formal co-design methodology to design buildings taking the view that buildings are prime examples of cyberphysical systems where the virtual and physical worlds meet, as more traditional products such as thermostats are able to connect online and perform complicated computational tasks to control building temperature effectively. We complete the presentation describing the growing role of buildings in the operation of the smart grid where buildings are not only consumers of energy, but also providers of services and energy to the smart grid. The audiences for this monograph are industry professionals and researchers who work in the area of smart buildings, smart cities and smart grid, with emphasis on energy-efficiency, simulation tools, optimal control, and cyber-physical systems design for the emerging and connected power markets. © 2017 Elsevier B.V., All rights reserved.",2016,"Maasoumy, M.; Sangiovanni-Vincentelli, A.L.",10.1561/1000000043,Foundations and Trends in Electronic Design Automation,; Air conditioning; Algorithms; Apartment houses; Buildings; Computer aided design; Design; Electric power system control; Electric power transmission networks; Embedded systems; Energy efficiency; Environmental impact; Environmental technology; Laws and legislation; Life cycle; Office buildings; Online systems; Product design; Smart power grids; Academic institutions; Civil engineering infrastructures; Co-design methodology; Cyber physical systems (CPSs); Industry professionals; System-level approach; Transportation industry; Ventilation and air conditioning; Architectural design,Scopus,Article
Sustainability framework of intelligent social houses with a synergy of double-façade architecture and active air conditioning systems,"Social houses are built around the world to fulfill the basic needs of the growing population, especially middle-income families. Owing to the low budget available for such houses around the globe, necessary energy codes are often compromised. This research, through a methodological sustainability framework, presents the case study of Mexico with the objective to address this worldwide issue. More than 100,000 social houses were built in Mexico just in the year 2021 without strictly following any definitive building energy codes. Eventually, this is a ticking bomb, if left unaddressed, that can bring serious energy and environmental consequences connected with various social issues. Thus, as a research gap, the conventional 4E (energy, exergy, economic, and environmental) analysis cannot fully address such a complex energy-environmental-economic-social nexus. This work proposes an integrated sustainability framework of the practicability of the bioclimatic architecture of such a social house including energy, economic, environmental, and social assessment (novel addition to the analysis). The novel methodology is implemented on a novel technological advancement where double-façade architecture (i.e., solar chimney) is installed through a synergy and intelligent operation with an active air conditioning system including a desiccant enhanced air cooler and novel dew-point evaporative cooler. The article makes use of conventional physics-based modeling of thermal machines combined with an artificial neural network digital twin-based data-driven non-sorting genetic optimization of solar chimneys for various climatic conditions of Mexico. The optimal points are evaluated using annual climatic data to maintain the thermal comfort conditions and the results have suggested an increase of ∼48% through intelligent integration of double-façade architecture with the Maisotsenko cycle air cooler. Life-cycle economic assessment has suggested the Levelized cost of air conditioning be between 0.0096 and 0.0390 USD/kWh and can save up to ∼273 MXN per month with a real payback period of ∼8 years. Environment assessment has reported mitigation of up to ∼5668.59 kg<inf>CO2</inf>/year as compared to conventional vapor compression refrigeration systems. The social assessment is conducted on a pilot scale to directly ask the people of Mexico about their perception of the installation of the solar chimney while giving the fact that the initial price of the social houses can increase between 2.5 and 4%. It is reported that ∼62% of the sample is willing to install it even with a high price tag with a motive to initiate the climate change mitigation phenomena. The importance of the work has concluded that the government needs to take drastic and tough decisions to further regulate the energy efficiency in the social houses and limit the constructors to offer sustainable building construction. © 2023 Elsevier B.V., All rights reserved.",2023,"Tariq, R.; Bassam, A.; Orozco-del-Castillo, M.G.; Ricalde, L.J.; Carvente, O.",10.1016/j.enconman.2023.117120,Energy Conversion and Management,Artificial intelligence; Energy and buildings; Intelligent buildings; Social assessment; Solar chimney ; Architectural design; Budget control; Chimneys; Cooling systems; Driers (materials); Economic analysis; Houses; Intelligent buildings; Investments; Life cycle; Network architecture; Neural networks; Sustainable development; Aircoolers; Conditioning systems; Double facades; Economic assessments; Energy; Energy and building; Energy code; Me-xico; Middle incomes; Social assessment; Air conditioning,Scopus,Article
Energy efficiency model-based Digital shadow for Induction motors: Towards the implementation of a Digital Twin,"The 4th industrial revolution requires the tracking and optimization of energy consumption using an intelligent energy management system (IEMS). Such a system needs accurate real-time energy informa-tion to operate industrial machines, where Induction Motors (IMs) represent 42.2% of the global energy consumption. This paper addresses the problems of data acquisition for Induction motors in the context of Industry 4.0 (I4.0) where precision, real-time constraints, and optimal operations play a major role in decision-making. A new vision of Digital Shadow (DS) is proposed for the energy efficiency (EE) of IMs. A hybrid model consisting of a data-driven model and a physics-based model is developed to represent the machine efficiency information in real-time (RT). The proposed method is developed based on a two -stage procedure. Firstly, the IM EE model is established by considering Stator joule losses, core losses, rotor joule losses, friction, and windage losses, in addition to the stray losses to create an improved model. This was established based on the double cage model where core loss resistance is added. Secondly, the machine's losses and efficiency are visualized using the 8 electrical circuit parameters (ECP) from the double cage model in addition to the rated speed and test temperature. The parameters estimation in RT incurred complexities and required the use of Adaptive Neuro-Fuzzy Inference System (ANFIS)-based modeling. The proposed model was developed using Fuzzy Logic Toolbox and Neuro-Fuzzy Designer app from MATLAB by training Sugeno systems. 8 ANFIS MATLAB models are trained to estimate each of the 8 ECP from the double cage model by using standard inputs. The training and testing dataset is constituted by the experimental data of the ECPs were calculated using the FSOLVE function to solve the nonlinear system formed by 60 motors from 8 manufacturers' data such as voltage, number of pole-pairs, rated output power, rated torque, current, starting current, maximum torque and the power factor. Finally, the proposed method is validated experimentally using a 1.5 KW, 400/230 V, 50 Hz squirrel cage induction motor (SCIM) for linear speed control. The EE, Torque, and losses are visu-alized through the proposed model using MATLAB/SIMULINK. The mean value of the RMSE for the eight estimated ECPs are 7.57e-05, and 5.73e-01 respectively for training and testing while the mean values of the MAE are 2.06e-05, and 3.79e-01 respectively for training and testing. The errors of the EE estimation w.r.t the measured EE at rated condition, are RMSE = 0.205, and MAE = 0.1671. These results show that the proposed model can be implemented in the industry to monitor the machine EE and its losses. & COPY; 2023 Karabuk University. Publishing services by Elsevier B.V. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",2023,"Adamou, Adamou Amadou; Alaoui, Chakib",10.1016/j.jestch.2023.101469,ENGINEERING SCIENCE AND TECHNOLOGY-AN INTERNATIONAL JOURNAL-JESTECH,Induction motors; Energy efficiency; Digital shadow; Digital twin; ANFIS ; PARAMETERS ESTIMATION; ANFIS; ALGORITHM; INDUSTRY; LOAD,Scopus | Web of Science,Article
Integrating experimental data and neural computation for emission forecasting in automotive systems,"This work presents an integrated approach combining experimental testing and mathematical modeling to analyze fuel consumption and pollutant emissions in a spark-ignition engine vehicle. Experimental data were obtained from chassis dynamometer tests under the WLTP driving cycle, including time series of vehicle speed, energy consumption, and CO₂, CO, THC, and other compounds emissions. Two classes of artificial neural networks were implemented to capture the complex, nonlinear relationships between driving dynamics and emission profiles: Multi-layer perceptrons (MLP) and self-associative neural networks (SANN). These models were trained on real-world time series data to predict vehicle speed and energy consumption as functions of emission parameters and vice versa. The models demonstrated high accuracy, especially in the validation phase, confirming their potential for forecasting and environmental performance assessment. The neural network models underwent training, validation, and testing processes, allowing for the assessment of their effectiveness in predicting energy consumption under various system operating scenarios. The results demonstrated high prediction accuracy, confirming the usefulness of ANN as a tool for analyzing complex relationships between emissions and energy efficiency. The best-performing model achieved a mean absolute error (MAE) of 0.034 MJ/km and a coefficient of determination (R²) of 0.91 for energy consumption prediction. The study developed models identifying the relationships between emission parameters and energy consumption characteristics, enabling precise modeling of combustion processes. The input data included key emission indicators such as carbon monoxide (CO), carbon dioxide (CO₂), and hydrocarbons (HC, NMHC and CH<inf>4</inf>), as well as operational parameters of energy systems. Additionally, the observed patterns in energy use were interpreted through a physical lens, considering the thermodynamics and chemical kinetics of combustion processes under different driving conditions. This hybrid methodology – combining data-driven AI with domain-specific physical insight – provides a robust framework for predicting the environmental impacts of internal combustion engines and optimizing their operation. The proposed approach applies to broader engineering contexts, including emission control strategy design, digital twin development for powertrains, and intelligent vehicle energy management systems. The proposed approach represents a significant step toward leveraging modern artificial intelligence methods to improve energy efficiency and develop emission reduction strategies through combustion condition optimization. The obtained results can serve as a foundation for further refining industrial processes in the context of sustainable development and environmental protection. © 2025 Elsevier B.V., All rights reserved.",2025,"Zimakowska-Laskowska, M.; Orynycz, O.A.; Kulesza, E.; Matijošius, J.; Tucki, K.; Świć, A.",10.12913/22998624/208172,Advances in Science and Technology Research Journal,artificial neural networks; combustion process optimization; emission modeling; energy consumption prediction; energy efficiency; sustainable development ;,Scopus | Web of Science,Article
"AI Agent-Based Intelligent Urban Digital Twin (I-UDT): Concept, Methodology, and Case Studies","Highlights What are the main findings? In the developed AI agent-based intelligent digital twin (I-DT), UBEM overcomes the limitations of the traditional UBEM approach and enables efficient analysis of urban building energy. GPT-based UBEM effectively performed the core functions of UBEM, serving as a key technology in I-UDT applications and services. What are the implications of the main findings? The I-UDT enables more accurate and comprehensive urban energy management, supporting the development of sustainable cities and carbon-neutral strategies. Implementing I-UDTs enables urban policymakers to make data-driven decisions, improve energy efficiency, and enhance the scalability of digital twin applications.Highlights What are the main findings? In the developed AI agent-based intelligent digital twin (I-DT), UBEM overcomes the limitations of the traditional UBEM approach and enables efficient analysis of urban building energy. GPT-based UBEM effectively performed the core functions of UBEM, serving as a key technology in I-UDT applications and services. What are the implications of the main findings? The I-UDT enables more accurate and comprehensive urban energy management, supporting the development of sustainable cities and carbon-neutral strategies. Implementing I-UDTs enables urban policymakers to make data-driven decisions, improve energy efficiency, and enhance the scalability of digital twin applications.Abstract The concept of digital twins (DTs) has expanded to encompass buildings and cities, with urban building energy modeling (UBEM) playing a crucial role in predicting urban-scale energy consumption via modeling individual energy use and interactions. As a virtual model within urban digital twins (UDTs), UBEM offers the potential for managing energy in sustainable cities. However, UDTs face challenges with regard to integrating large-scale data and relying on bottom-up UBEM approaches. In this study, we propose an AI agent-based intelligent urban digital twin (I-UDT) to enhance DTs' technical realization and UBEM's service functionality. Integrating GPT within the UDT enabled the efficient integration of fragmented city-scale data and the extraction of building features, addressing the limitations of the service realization of traditional UBEM. This framework ensures continuous updates of the virtual urban model and the streamlined provision of updated information to users in future studies. This research establishes the concept of an I-UDT and lays a foundation for future implementations. The case studies include (1) data analysis, (2) prediction, (3) feature engineering, and (4) information services for 3500 buildings in Seoul. Through these case studies, the I-UDT was integrated and analyzed scattered data, predicted energy consumption, derived conditioned areas, and evaluated buildings on benchmark.",2025,"Choi, Sebin; Yoon, Sungmin",10.3390/smartcities8010028,SMART CITIES,AI (artificial intelligence) agent; generative pre-trained transformers (GPTs); OpenAI; urban digital twins (UDTs); urban building energy modeling (UBEM); digital twins (DTs); urban building informatics ; ENERGY; SIMULATION,Scopus | Web of Science,Article
Control Strategy for Building Air Conditioning Cluster Loads Participating in Demand Response Based on Cyber-Physical System,"In recent years, with rising urbanization and ongoing adjustments in industrial structures, there has been a growing dependence on public buildings. The load of public buildings gradually becomes the main component of the peak load in summer, among which the load of air conditioning is particularly prominent. To clarify the key problems and solutions to these challenges, this study proposes a multi-objective optimization control strategy for building air conditioning cluster participation in demand response based on Cyber-Physical System (CPS) architecture. In a three-layer typical CPS architecture, the unit level of the CPS achieves dynamic information perception of air conditioning clusters through smart energy terminals. An air conditioning load model based on the multiple parameter types of air conditioning compressors is presented. Then, the system level of the CPS fuses multiple pieces of information through smart energy gateways, analyzing the potential for air conditioning clusters when they participate in demand response. The system of system level (SoS level) of the CPS deploys a multi-objective optimization control strategy which includes the uncertainty of the initial states of air conditioning clusters within the intelligent building energy management system. The optimal model takes into account the differences in the environmental conditions of each individual air conditioning unit within the cluster and sets different operating modes for each unit to achieve load reduction while maintaining temperatures within a comfortable range for the human body. The Multi-Objective Particle Swarm Optimization (MOPSO) algorithm based on Pareto frontiers is applied to solve this optimization control strategy and to optimize the operational parameters of the air conditioning clusters. A comparative analysis is conducted with single-objective optimization results obtained using the traditional Particle Swarm Optimization (PSO) algorithm. The case study results indicate that the proposed multi-objective optimization control strategy can effectively improve the thermal comfort of the human body towards the controlled temperatures of air conditioning clusters while meeting the accuracy of demand response. In the solution phase, the highest temperature within the air conditioning clusters is 24 °C and the lowest temperature is 23 °C. Adopting the proposed multi-objective optimization control strategy, the highest temperature is 26 °C and the lowest temperature is 23.5 °C within the clusters and the accuracy of demand response is up to 92%. Compared to the traditional PSO algorithm, the MOPSO algorithm has advantages in convergence and optimization precision for solving the proposed multi-objective optimization control strategy. © 2024 Elsevier B.V., All rights reserved.",2024,"Yuan, X.; Cao, H.; Chen, Z.; Xu, J.; Liu, H.",10.3390/en17061291,Energies,air conditioning clusters; Cyber-Physical System; demand response; MOPSO; pareto front ; Clustering algorithms; Cyber Physical System; Embedded systems; Energy management systems; Intelligent buildings; Multiobjective optimization; Air conditioning cluster; Control strategies; Cybe-physical systems; Cyber-physical systems; Demand response; Multi objective particle swarm optimization; Multi-objectives optimization; Optimization control; Pareto front; Public buildings; Air conditioning,Scopus | Web of Science,Article
Optimising the construction process through digitalisation: Case studies of projects under unstable resource supply,"This study aimed to investigate the impact of digital technologies on the optimisation of the construction process under conditions of unstable resource supply and to formulate practical recommendations for their effective implementation. The research methodology included an analysis of current trends in the field of digital solutions, including Building Information Modelling, Internet of Things technologies, artificial intelligence, digital twins, and cloud platforms. The possibilities of integrating these technologies to improve the planning, construction, and operation of facilities were considered, as well as their impact on increasing the efficiency of resource management. An analysis of real-world case studies was conducted, including the implementation of Building Information Modelling in the ASTON HALL project by the company DEHAUSS, which confirmed the significant potential of digital technologies. The Crossrail project was also considered, where BIM technologies ensured effective coordination between contractors, as well as digital twins in Singapore, which are used for the management of urban resources. The research showed that Building Information Modelling contributes to reducing errors in design and construction, improving coordination between project participants, and lowering costs. Internet of Things technologies provide real-time monitoring of the condition of building materials and equipment, which increases the level of safety and reduces the risks of downtime. The use of artificial intelligence enables the prediction of potential delays, the optimisation of logistics, and the automation of management processes. Digital twins allow for the testing of different construction process scenarios, which positively impacts the quality of the final outcome. The main challenges of construction digitalisation remain the high cost of technology implementation, the need for staff training, the difficulties of integrating software platforms, and cybersecurity issues. At the same time, the advantages, such as process automation, increased accuracy of load and energy efficiency calculations, optimisation of resource supply, and improved control over construction projects, confirm the strategic importance of digital solutions in the development of the construction industry. The results of the research demonstrated that a comprehensive approach to the implementation of digital technologies, the adaptation of construction processes, and the effective integration of digital platforms can significantly increase the productivity of construction projects, especially under conditions of unstable resource supply. © 2025 Elsevier B.V., All rights reserved.",2025,"Oliinyk, V.; Kononchuk, R.; Kobelchuk, O.; Tugay, A.; Dubynka, O.",10.56318/as/1.2025.92,Architectural Studies,blockchain; building information modelling; cloud computing; geoinformation technologies; remote sensing ;,Scopus,Article
"DIGITAL TWIN SOLUTION IMPLEMENTED ON ENERGY HUB TO FOSTER SUSTAINABLE SMART ENERGY CITY, CASE STUDY OF SUSTAINABLE SMART ENERGY HUB","The scarcity of energy is one of humanity's most pressing issues in the twenty-first century. These problems can be found in various areas, including energy supply, exchange, and consumption. Population growth, rising global energy demand, natural resource shortages, and environmental concerns contribute to energy scarcity. Furthermore, energy shortage needs the expansion of renewable energies and energy efficiency, a major concern for all governments and organisations. Building energy efficiency is a crucial concept to consider when it comes to smart cities. Buildings are the greatest energy consumers, accounting for 40% of total energy consumption. Recent advances in machine learning within a big data context have paved the way for more efficient building energy management. Building energy consumption may be successfully managed by a real-time measurement procedure, allowing the economy to shift from a linear to a circular consumption model. This will tackle the issue of late notice of failed energy-saving initiatives and allow for immediate correction to restore the energy management system to ultimate performance.</p><p>The energy hub might be as small as a single home energy system or as large as an energy system for the city. This paper will present a case study on developing a smart energy hub called Hubgrade 4.0 that relies on connected products using digital twin as a significant enabler for energy-saving initiatives. Hubgrade 4.0 provides an innovative approach to successfully implementing energy efficiency improvement using artificial intelligence and real-time data. Hubgrade 4.0 is the name of Enova by Veolia smart energy hub; Enova is the regional leader in integrated energy and multi-technical services, delivering performance-based energy and facilities management solutions. The energy hub digital twin is a link between a physical platform that administers the energy hub's IoT and a virtual platform that can derive services that are valid for the energy hub. Successful enterprises are using several new technologies to achieve the goals of Industry 4.0: efficiency, speed, agility, and customer-centricity. This paper concluded and highlighted lessons learned from the successful implementation of innovative energy management, which relied on a dedicated organisation, effective adoption of digital technologies, and embracing new business models, resulting in power savings of 254 million kW and water savings of around 3 million cubic meters, as well as financial savings of about 138 million AED in 5 years since Hubgrade 4.0 started operations its first energy-saving contract in 2017. © 2022 Elsevier B.V., All rights reserved.",2022,"Dulaimi, A.; Hamida, R.; Naser, M.; Mawed, M.",10.5194/isprs-annals-x-4-w3-2022-41-2022,"ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information Sciences",Digital Twin; Energy Hub; Energy Management; Smart Cities; Sustainability ; Artificial intelligence; Buildings; Energy efficiency; Energy management systems; Energy utilization; Green computing; Population statistics; Smart city; Smart power grids; Sustainable development; Case-studies; Energy; Energy savings; Energy exchanges; Energy hubs; Energy systems; Energy-consumption; Energy-savings; Pressung; Smart energies; Energy management,Scopus,Conference paper
Visualised inspection system for monitoring environmental anomalies during daily operation and maintenance,"Purpose: Visual inspection and human judgement form the cornerstone of daily operations and maintenance (O&M) services activities carried out by facility managers nowadays. Recent advances in technologies such as building information modelling (BIM), distributed sensor networks, augmented reality (AR) technologies and digital twins present an immense opportunity to radically improve the way daily O&M is conducted. This paper aims to describe the development of an AR-supported automated environmental anomaly detection and fault isolation method to assist facility managers in addressing problems that affect building occupants’ thermal comfort. Design/methodology/approach: The developed system focusses on the detection of environmental anomalies related to the thermal comfort of occupants within a building. The performance of three anomaly detection algorithms in terms of their ability to detect indoor temperature anomalies is compared. Based on the fault tree analysis (FTA), a decision-making tree is developed to assist facility management (FM) professionals in identifying corresponding failed assets according to the detected anomalous symptoms. The AR system facilitates easy maintenance by highlighting the failed assets hidden behind walls/ceilings on site to the maintenance personnel. The system can thus provide enhanced support to facility managers in their daily O&M activities such as inspection, recording, communication and verification. Findings: Taking the indoor temperature inspection as an example, the case study demonstrates that the O&M management process can be improved using the proposed AR-enhanced inspection system. Comparative analysis of different anomaly detection algorithms reveals that the binary segmentation-based change point detection is effective and efficient in identifying temperature anomalies. The decision-making tree supported by FTA helps formalise the linkage between temperature issues and the corresponding failed assets. Finally, the AR-based model enhanced the maintenance process by visualising and highlighting the hidden failed assets to the maintenance personnel on site. Originality/value: The originality lies in bringing together the advances in augmented reality, digital twins and data-driven decision-making to support the daily O&M management activities. In particular, the paper presents a novel binary segmentation-based change point detection for identifying temperature anomalous symptoms, a decision-making tree for matching the symptoms to the failed assets, and an AR system for visualising those assets with related information. © 2021 Elsevier B.V., All rights reserved.",2020,"Xie, X.; Lu, Q.; Rodenas-Herráiz, D.; Parlikad, A.; Schooling, J.M.",10.1108/ecam-11-2019-0640,"Engineering, Construction and Architectural Management",Anomaly detection; Augmented reality; Digital twin; Operations and maintenance ; Anomaly detection; Architectural design; Augmented reality; Binary trees; Digital twin; Fault tree analysis; Inspection; Inspection equipment; Maintenance; Managers; Office buildings; Sensor networks; Signal detection; Space heating; Thermal comfort; Anomaly-detection algorithms; Building Information Modelling; Change point detection; Design/methodology/approach; Distributed sensor networks; Fault tree analyses (FTA); Operation and maintenance; Operations and maintenance; Decision making,Scopus | Web of Science,Article
